PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,Cuotas en mora,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico
30.0,0.5,2284.0,2.1713801779004296,0.6,6.25184,-75.56359,31.192509855453352,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2284.0,2.0000671338777654,0.6,4.60971,-74.08175,12.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2282.0,2.121868168460848,0.6,4.60971,-74.08175,48.0,0,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.12,2277.0,1.0,0.55,3.8801,-77.03116,22.733245729303547,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2276.0,2.001993902282928,0.6,4.60971,-74.08175,36.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2275.0,2.0652910719850706,0.6,4.60971,-74.08175,31.192509855453352,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2275.0,1.9174967878942564,0.6,4.60971,-74.08175,11.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2274.0,1.6654653291381436,0.6,6.18461,-75.59913,24.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2274.0,2.040857384711288,0.6,4.33646,-74.36378,12.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2273.0,1.8211463340091656,0.6,4.60971,-74.08175,6.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28.0,0.2,2271.0,1.679595719626878,0.6,6.25184,-75.56359,31.192509855453352,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2270.0,2.0,0.5,3.46263,-73.62162,9.132720105124836,1,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,0.5,2270.0,2.0996499564987072,0.6,3.43722,-76.5225,48.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.25,2270.0,1.993784256289896,0.6,4.60971,-74.08175,36.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2269.0,0.85,0.4,1.29851,-77.40614,31.192509855453352,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2268.0,1.6670534168254498,0.6,4.45265,-75.78746,31.192509855453352,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
