PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,Cuotas en mora
30.0,0.3,2325.0,1.9985750453896087,0.6,4.60971,-74.08175,12.0,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.17,1610.0,2.2,1.5,4.142,-73.62664,31.192509855453352,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.25,1520.0,2.5,1.0,6.25184,-75.56359,34.78975032851511,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.15,1485.0,3.5,0.4,6.25184,-75.56359,31.192509855453352,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
25.0,0.15,993.0,1.6,0.8,2.57286,-72.64591,8.21287779237845,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.4,1477.0,2.5,2.0,4.60971,-74.08175,31.192509855453352,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.4,1293.0,2.235741162330587,0.6,4.60971,-74.08175,24.0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.5,702.0,1.8,0.6,4.60971,-74.08175,96.6819973718791,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30.0,0.3,1077.0,1.365,0.7,4.60971,-74.08175,21.254927726675422,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.12,2059.0,1.715233209425861,0.6,4.60971,-74.08175,10.0,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
29.0,0.2,893.0,1.0,0.4,6.25184,-75.56359,240.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
