PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos
30,250000,4692.5,2016-08-05,2464,1,desempleado,nan,3.0,entre uno y cinco anos,,,,nan,nan,nan,nan,1.0,1.0,ninguno,1,0,3.43722,-76.5225,
30,200000,3754.0,2016-08-05,2464,1,empleado,nan,2.0,entre uno y cinco anos,1500000.0,300000.0,200000.0,indefinido,mensual,nan,nan,1.0,3.0,ninguno,1,0,10.96854,-74.78132,0.0
30,300000,5631.0,2016-08-06,2463,1,empleado,familiar,3.0,mas de 5 anos,800000.0,600000.0,200000.0,termino fijo,mensual,soltero/a,profesional,2.0,2.0,ninguno,1,0,4.60971,-74.08175,
30,200000,3754.0,2016-08-07,2462,1,empleado,arrendada,2.0,menos de un ano,1000000.0,400000.0,100000.0,indefinido,quincenal,union libre,tecnico,2.0,2.0,ninguno,1,0,5.54782,-75.64368,
19,300000,3566.3,2015-07-01,2453,0,empleado,nan,3.0,menos de un ano,,,,termino fijo,quincenal,nan,nan,1.0,0.0,ninguno,1,0,4.91726,-74.09364,24.0
30,350000,6569.5,2016-09-02,2436,1,nan,familiar,,mas de 5 anos,,,,nan,nan,nan,nan,,,nan,1,0,4.60971,-74.08175,
30,300000,5631.0,2016-09-02,2436,1,empleado,propia,2.0,entre uno y cinco anos,2400000.0,1200000.0,,indefinido,mensual,soltero/a,no tengo,1.0,1.0,ninguno,1,0,4.60971,-74.08175,
28,100000,1751.866667,2015-07-20,2434,0,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,60.0
30,230000,4317.1,2016-05-18,2434,0,empleado,nan,4.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,5.8245,-73.03408,144.0
30,350000,6569.5,2016-09-24,2414,1,empleado,nan,2.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,0.0,carro,1,0,4.33646,-74.36378,9.0
30,150000,2815.5,2016-10-08,2400,1,empleado,nan,2.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,1.0,2.0,moto,1,0,4.08466,-76.19536,180.0
30,170000,3190.9,2015-10-10,2394,0,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,6.0
30,300000,5631.0,2016-10-16,2392,1,empleado,nan,2.0,mas de 5 anos,1750000.0,1000000.0,,indefinido,mensual,nan,nan,2.0,1.0,ninguno,1,0,4.60971,-74.08175,49.34296977660972
30,200000,3754.0,2015-08-08,2387,0,independiente,nan,2.0,entre uno y cinco anos,,,,nan,nan,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,
15,300000,2815.5,2016-11-02,2375,1,empleado,nan,2.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,0.0
30,350000,6569.5,2016-11-12,2365,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,2.0,2.0,ninguno,1,0,3.23114,-76.41668,
30,250000,4692.5,2016-11-12,2365,1,empleado,familiar,3.0,mas de 5 anos,1650000.0,550000.0,100000.0,indefinido,mensual,union libre,tecnologo,2.0,1.0,ninguno,1,0,4.60971,-74.08175,5.091984231274639
30,300000,5631.0,2016-11-17,2360,1,empleado,familiar,2.0,mas de 5 anos,737000.0,400000.0,450000.0,termino fijo,quincenal,union libre,secundaria,3.0,3.0,ninguno,1,0,4.60971,-74.08175,5.0
30,300000,5631.0,2016-11-19,2358,1,empleado,arrendada,3.0,entre uno y cinco anos,1000000.0,600000.0,200000.0,indefinido,quincenal,soltero/a,secundaria,1.0,1.0,ninguno,1,0,4.73245,-74.26419,12.45072273324573
30,200000,3754.0,2016-11-19,2358,1,empleado,nan,3.0,menos de un ano,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,12.0
30,500000,9385.0,2016-11-19,2358,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,72.0
26,300000,4880.2,2016-11-21,2356,1,empleado,nan,3.0,entre uno y cinco anos,1200000.0,600000.0,390000.0,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.81333,-75.69611,
30,250000,4692.5,2016-11-23,2354,1,empleado,propia,3.0,entre uno y cinco anos,,,,indefinido,mensual,soltero/a,no tengo,1.0,2.0,ninguno,1,0,4.60971,-74.08175,
30,300000,5631.0,2016-11-24,2353,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,5.45948,-74.33823,144.0
30,200000,3754.0,2016-12-03,2344,1,empleado,arrendada,3.0,entre uno y cinco anos,1600000.0,800000.0,300000.0,indefinido,quincenal,soltero/a,tecnico,1.0,1.0,ninguno,1,0,4.60971,-74.08175,24.0
30,300000,5631.0,2016-12-08,2339,1,empleado,familiar,2.0,mas de 5 anos,3000000.0,1800000.0,100000.0,indefinido,quincenal,union libre,tecnico,5.0,4.0,ninguno,1,0,10.15031,-73.9614,61.59658344283837
30,400000,7508.0,2016-12-09,2338,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,3.0,2.0,ninguno,1,0,5.54782,-75.64368,108.0
30,300000,5631.0,2016-12-10,2337,1,empleado,propia,4.0,menos de un ano,,,,indefinido,mensual,soltero/a,no tengo,,,ninguno,1,0,1.21361,-77.28111,
30,300000,5631.0,2016-12-22,2325,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,12.0
30,200000,3754.0,2016-12-22,2325,1,empleado,nan,2.0,menos de un ano,1500000.0,400000.0,100000.0,termino fijo,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.15515,-75.37371,
23,300000,4317.1,2016-12-28,2319,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,1.0,carro,1,0,10.96854,-74.78132,4.0
30,450000,8446.5,2016-12-31,2316,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,2.0,ninguno,1,0,4.60971,-74.08175,12.0
30,400000,7508.0,2017-01-01,2315,1,pensionado,nan,2.0,mas de 5 anos,,,,nan,nan,nan,nan,0.0,3.0,ninguno,1,0,6.18461,-75.59913,
