PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
30,100000,1877.0,7/17/2015,8/16/2015,2572,0,Empleado,bogota,supervisor de logistica,,4.0,mas de 5 años,,,,Indefinido,Quincenal,,,2.0,2.0,Ninguno,10 años,1,0
30,180000,3378.6,3/22/2016,4/21/2016,2570,1,Empleado,Yopal,Tecnico en el area de salud,,2.0,entre uno y cinco años,,,,Indefinido,Mensual,,,0.0,2.0,Carro,2022-02-10,1,0
30,350000,6569.5,3/25/2016,4/24/2016,2567,1,Empleado,bucaramanga,jefe de auxiliares de vuelo,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,2.0,Ninguno,3 años,1,0
30,350000,6569.5,3/28/2016,4/27/2016,2564,1,Empleado,BARRANQUILLA,TECNOLOGO EN IMAGENES DIAGNOSTICAS,,3.0,menos de un año,,,,Indefinido,Quincenal,,,2.0,1.0,Ninguno,8 AM - 4 PM,1,0
30,300000,5631.0,3/30/2016,4/29/2016,2562,1,Empleado,Medellin,Auxiliar administrativa,,3.0,mas de 5 años,,,,Termino fijo,Quincenal,,,2.0,2.0,Ninguno,3 años,1,0
30,320000,6006.4,4/1/2016,5/1/2016,2560,1,Empleado,CHIGORODO,ASESORA COMERCIAL,,2.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,2.0,Moto,3 AÑOS,1,0
22,150000,2064.7,4/18/2016,5/10/2016,2551,1,Empleado,Bogota,Auxiliar de servicios,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,1.0,1.0,Ninguno,5 meses,1,0
30,200000,3754.0,4/22/2016,5/22/2016,2539,1,Empleado,bello,auxiliar administrativo,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,0.0,1.0,Ninguno,8 años,1,0
30,170000,3190.9,4/26/2016,5/26/2016,2535,1,Empleado,soledad,guarda de seguridad,,2.0,mas de 5 años,1200000.0,700000.0,140000.0,Indefinido,Mensual,,,1.0,0.0,Ninguno,2018-06-05,1,0
30,120000,2252.4,9/1/2015,10/1/2015,2531,0,Empleado,Medellin,Representante de servicios,,1.0,mas de 5 años,,,,Termino fijo,Quincenal,,,0.0,0.0,Ninguno,10 meses,1,0
30,400000,7508.0,1/6/2016,2/5/2016,2516,0,Independiente,Barranquilla,DesarrolladorSenior,,3.0,entre uno y cinco años,,,,,,,,2.0,2.0,Ninguno,,1,0
30,250000,4692.5,6/16/2015,7/16/2015,2489,0,Empleado,Agustin codazzi,Asistente de Calidad,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,Tres años,1,0
29,250000,4536.083333,6/10/2015,7/9/2015,2476,0,Empleado,bogota,apoyo contratación,,1.0,mas de 5 años,,,,Termino fijo,Mensual,,,0.0,0.0,Carro,2013-04-25,1,0
30,200000,3754.0,6/28/2016,7/28/2016,2472,1,Empleado,puerto boyaca,cuñero de produccion,,1.0,entre uno y cinco años,,,,Termino fijo,Quincenal,,,3.0,4.0,Ninguno,15meses,1,0
30,150000,2815.5,9/23/2015,10/23/2015,2472,0,Empleado,cali,Contratista,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,0.0,0.0,Ninguno,23 meses,1,0
30,300000,5631.0,6/30/2016,7/30/2016,2470,1,Empleado,Barranquilla,Jefe de Talento Humano,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,2,1,0
24,250000,3754.0,7/11/2016,8/4/2016,2465,1,Empleado,Bogota,Coordinador de Operaciones,Familiar,3.0,mas de 5 años,2220000.0,600000.0,,Indefinido,Quincenal,Soltero/a,Profesional,,,Moto,2018-05-08,1,0
30,250000,4692.5,7/6/2016,8/5/2016,2464,1,Desempleado,Cali,,,3.0,entre uno y cinco años,,,,,,,,1.0,1.0,Ninguno,,1,0
30,200000,3754.0,7/6/2016,8/5/2016,2464,1,Empleado,Barranquilla,Impulsa,,2.0,entre uno y cinco años,1500000.0,300000.0,200000.0,Indefinido,Mensual,,,1.0,3.0,Ninguno,18 diciembre 2017,1,0
